athlete_id;athlete_full_name;games_participations;first_game;athlete_year_birth
michael-boogerd;Michael BOOGERD;1;Athens 2004;1972
christl-smet;Christl SMET;1;Barcelona 1992;1961
michelle-rogers;Michelle ROGERS;2;Atlanta 1996;1976
romana-zupan;Romana ZUPAN;1;London 2012;1987
harry-stoddard-babcock;Harry Stoddard BABCOCK;1;Stockholm 1912;1890
george-richard-norman;George Richard NORMAN;1;Melbourne 1956;1927
teofilo-rossi-di-montelera;Teofilo ROSSI DI MONTELERA;1;Lake Placid 1932;1902
vladimir-kolar;Vladimir KOLAR;2;St. Moritz 1948;1927
bona-septano;Bona SEPTANO;1;London 2012;1987
nadine-broersen;Nadine BROERSEN;3;London 2012;1990
doreen-viola-hansen-wilber;Doreen Viola Hansen WILBER;1;Munich 1972;1930
gilbert-glaus;Gilbert GLAUS;1;Moscow 1980;1955
akiko-sato;Akiko SATO;1;Rio 2016;1984
katarzyna-ponikwia;Katarzyna PONIKWIA;1;Turin 2006;1982
veronica-maria-ravenna;Veronica Maria RAVENNA;2;PyeongChang 2018;1998
ralf-lubke;Ralf LUBKE;2;Los Angeles 1984;1965
kalju-ojaste;Kalju OJASTE;3;Albertville 1992;1961
frank-loomis;Frank LOOMIS;1;Antwerp 1920;1896
abdollah-fatemi-rika;Abdollah FATEMI RIKA;1;Barcelona 1992;1958
giombini-laura;Laura GIOMBINI;1;Rio 2016;1989
edward-frentz;Edward FRENTZ;1;St. Louis 1904;
matti-rajakyla;Matti RAJAKYLA;2;Athens 2004;1984
whitly-loper;Whitly LOPER;1;Athens 2004;1986
anita-nussner;Anita NÜSSNER;1;Mexico City 1968;1935
malgorzta-jasinska;Malgorzta JASINSKA;1;Rio 2016;1984
przemyslaw-wacha;Przemyslaw WACHA;4;Athens 2004;1981
kikuko-inoue;Kikuko INOUE;3;Tokyo 1964;1924
frouke-van-beek;Frouke VAN BEEK;1;Barcelona 1992;1971
vadym-tasoiev;Vadym TASOIEV;2;Sydney 2000;1975
roberto-nani;Roberto NANI;1;Sochi 2014;1988
odon-bodor;Ödön BODOR;2;London 1908;1882
olaf-emil-frydenlund;Olaf Emil FRYDENLUND;1;Paris 1900;1862
rudolf-hendel;Rudolf HENDEL;1;Munich 1972;1947
alex-boisvert-lacroix;Alex BOISVERT-LACROIX;1;PyeongChang 2018;1987
philip-george-boggs;Philip George BOGGS;1;Montreal 1976;1949
muriel-evelyn-davis-grossfeld;Muriel Evelyn DAVIS-GROSSFELD;3;Melbourne 1956;1940
yaroslava-mahuchikh;Yaroslava MAHUCHIKH;1;Tokyo 2020;
max-widmer;Max WIDMER;1;Rome 1960;1933
alan-brounell-somers;Alan Brounell SOMERS;1;Rome 1960;1941
erwin-jose-caraballo-cabrera;Erwin Jose CARABALLO CABRERA;2;London 2012;1981
george-stuart-robertson;George Stuart ROBERTSON;1;Athens 1896;1872
jan-olof-wannius;Jan-Olof WANNIUS;1;Montreal 1976;1942
suk-hee-shim;Suk Hee SHIM;2;Sochi 2014;1997
gwanghee-cho;Gwanghee CHO;2;Rio 2016;1993
manoocher-bahmani;Manoocher BAHMANI;1;Munich 1972;1951
risa-shigetomo;Risa SHIGETOMO;1;London 2012;1987
carlotta-giovannini;Carlotta GIOVANNINI;1;Beijing 2008;1990
knud-jacobsen;Knud JACOBSEN;1;Berlin 1936;1914
vojtech-toth;Vojtech TOTH;1;Rome 1960;1938
fusahige-suzuki;Fusahige SUZUKI;1;Berlin 1936;1914
alberto-jose-umana;Alberto Jose UMANA;1;Los Angeles 1984;1965
michel-benakoun;Michel BENAKOUN;1;Rome 1960;1936
robert-molle;Robert MOLLE;1;Los Angeles 1984;1962
edward-samen;Edward SAMEN;1;Sarajevo 1984;
lloyd-valberg;Lloyd VALBERG;1;London 1948;
per-johansson;Per JOHANSSON;3;Moscow 1980;1963
herbert-nickall-haresnape;Herbert Nickall HARESNAPE;2;London 1908;1880
won-ho-li;Won Ho LI;1;Albertville 1992;1972
hakim-sadi;Hakim SADI;1;Rio 2016;1992
marceli-wiech;Marceli WIECH;1;Montreal 1976;1954
franca-gbodo;Franca GBODO;2;Sydney 2000;1982
michael-wenham-fibbens;Michael Wenham FIBBENS;3;Seoul 1988;1968
frank-hoffmeister;Frank HOFFMEISTER;1;Seoul 1988;1965
george-corsar;George CORSAR;1;Stockholm 1912;1886
adam-szepesi;Adam SZEPESI;1;Munich 1972;1945
leonard-steyaert;Léonard STEYAERT;1;Amsterdam 1928;
robert-makara;Robert MAKARA;1;Grenoble 1968;1948
glen-thomson;Glen THOMSON;1;Sydney 2000;1973
karen-mack;Karen MACK;1;Munich 1972;1947
maama-lolohea;Maama LOLOHEA;1;Beijing 2008;1968
eric-koloko;Eric KOLOKO;1;Montreal 1976;1950
eduardo-assam-rabay;Eduardo ASSAM RABAY;2;London 1948;1919
haotian-wang;Haotian WANG;1;Beijing 2022;1998
demetris-lordos-1;Demetris LORDOS;1;Barcelona 1992;1945
radka-zrubakova;Radka ZRUBAKOVA;2;Barcelona 1992;1970
erwina-rys;Erwina RYS;4;Innsbruck 1976;1955
kaarle-mcculloch;Kaarle MCCULLOCH;2;London 2012;1988
hana-majaj;Hana MAJAJ;1;Sydney 2000;1982
yevgeny-redkin;Yevgeny REDKIN;2;Albertville 1992;1970
