athlete_id;athlete_full_name;games_participations;first_game;athlete_year_birth
alireza-mohammad-karimimachiani;Alireza Mohammad KARIMIMACHIANI;1;Rio 2016;1994
robert-seymour-hassal;Robert Seymour HASSAL;2;Rome 1960;1929
frank-dittrich;Frank DITTRICH;4;Albertville 1992;1967
bruce-derlin;Bruce DERLIN;1;Seoul 1988;1961
hiroki-yokoyama;Hiroki YOKOYAMA;1;PyeongChang 2018;1994
guillermo-porteiro;Guillermo PORTEIRO;1;London 1948;
laura-aleida-sanchez-soto;Laura Aleida SANCHEZ SOTO;3;Athens 2004;1985
jorge-eduardo-garcia-bustos;Jorge Eduardo GARCIA BUSTOS;1;London 2012;1987
gloria-janet-cooke-wigney;Gloria Janet COOKE-WIGNEY;2;Melbourne 1956;1934
alicia-maria-boscatto;Alicia Maria BOSCATTO;2;Los Angeles 1984;1960
adil-candemir;Adil CANDEMIR;1;London 1948;1913
isabelle-arnould;Isabelle ARNOULD;2;Seoul 1988;1970
igor-malkov;Igor MALKOV;1;Sarajevo 1984;1965
antonia-fraebel;Antonia FRAEBEL;1;Beijing 2022;1997
stefan-ahrens;Stefan AHRENS;1;Sydney 2000;1976
jan-stoklaska;Jan STOKLASKA;2;Vancouver 2010;1983
riitta-liisa-salin-hagman;Riitta Liisa SALIN-HAGMAN;1;Montreal 1976;1950
austin-sperry;Austin SPERRY;1;Beijing 2008;1978
peter-modos;Peter MODOS;1;London 2012;1987
sandra-daniela-gerber;Sandra Daniela GERBER;1;Sochi 2014;1985
chetan-panduranga-baboor;Chetan Panduranga BABOOR;3;Barcelona 1992;1974
rudolf-galin;Rudolf GALIN;1;Helsinki 1952;1928
jaakko-friman;Jaakko FRIMAN;1;St. Moritz 1928;1904
sybil-fenton-quenni-newall;Sybil Fenton Quenni NEWALL;1;London 1908;1854
erik-jensen;Erik JENSEN;1;London 1948;1921
victor-arbez;Victor ARBEZ;4;Cortina d'Ampezzo 1956;1934
patrik-hrdina;Patrik HRDINA;2;Barcelona 1992;1967
stacey-kemp;Stacey KEMP;2;Vancouver 2010;1988
kate-mcilroy;Kate MCILROY;1;London 2012;1981
anders-johnsson;Anders JOHNSSON;1;Antwerp 1920;1890
ali-faki;Ali FAKI;1;Los Angeles 1984;1964
allan-milner;Allan MILNER;2;Paris 1924;1896
thorsten-gronfors;Thorsten GRÖNFORS;1;Stockholm 1912;1888
tamer-hussein;Tamer HUSSEIN;1;Athens 2004;1974
huafeng-jiao;Huafeng JIAO;1;Beijing 2008;1981
marianna-lymperta;Marianna LYMPERTA;4;Sydney 2000;1979
edmund-lanziner;Edmund LANZINER;1;Lake Placid 1980;1959
atsushi-sasaki;Atsushi SASAKI;3;Albertville 1992;1971
robert-farah;Robert FARAH;2;Rio 2016;1987
ernest-gondzik;Ernest GONDZIK;2;Helsinki 1952;1931
eirini-karastergiou;Eirini KARASTERGIOU;1;Athens 2004;1982
yige-yao;Yige YAO;1;London 2012;1996
zsolt-balo-1;Zsolt BALO;4;Albertville 1992;1971
breitfuss-kammerlander;Simon BREITFUSS KAMMERLANDER;2;PyeongChang 2018;1992
ayelech-worku;Ayelech WORKU;2;Atlanta 1996;1979
svetlana-kholomina;Svetlana KHOLOMINA;1;Tokyo 2020;1997
miguel-angel-droguett-hidalgo;Miguel Angel DROGUETT HIDALGO;2;Los Angeles 1984;1961
stanka-zlateva;Stanka ZLATEVA;3;Athens 2004;1983
graeme-ede;Graeme EDE;1;Beijing 2008;1960
vakhtang-murvanidze;Vakhtang MURVANIDZE;2;Salt Lake City 2002;1979
olle-bostrom;Olle BOSTRÖM;1;Munich 1972;1926
laura-nurmsalu;Laura NURMSALU;1;Rio 2016;1994
ellen-tittel-wellman;Ellen TITTEL-WELLMAN;2;Munich 1972;1948
maria-gabriela-franco;Maria Gabriela FRANCO;1;Sydney 2000;1981
iris-zscherpe;Iris ZSCHERPE;1;Los Angeles 1984;1967
john-f-terry;John F. TERRY;1;Berlin 1936;1908
ondrej-hyman;Ondrej HYMAN;3;Vancouver 2010;1986
aori-nishimura;Aori NISHIMURA;1;Tokyo 2020;2001
jerri-bergstrom;Jerri BERGSTRÖM;3;Los Angeles 1984;1963
carolena-carstens;Carolena CARSTENS;2;London 2012;1996
bruno-bethlem;Bruno BETHLEM;2;Rio 2016;1975
seung-mo-shon-1;Seung-Mo SHON;2;Sydney 2000;1980
yousef-shriha;Yousef SHRIHA;1;Rio 2016;1991
mitsuhashi;Rina MITSUHASHI;2;Sochi 2014;1990
hun-min-ji;Hun-Min JI;2;Beijing 2008;1984
paul-curran;Paul CURRAN;2;Los Angeles 1984;1961
steve-guerdat;Steve GUERDAT;5;Athens 2004;1982
adrien-courtois;Adrien COURTOIS;1;Berlin 1936;1905
pierre-durand-jr;Pierre DURAND JR.;2;Los Angeles 1984;1955
luis-rosenkjer;Luis ROSENKJER;1;Innsbruck 1976;1955
igor-petrenko-1;Igor PETRENKO;2;Atlanta 1996;1967
imad-bassou;Imad BASSOU;1;Rio 2016;1993
jorge-rodriguez-jirona;Jorge RODRIGUEZ-JIRONA;2;Innsbruck 1964;1945
kateryna-zubkova;Kateryna ZUBKOVA;2;Athens 2004;1988
maura-haponski;Maura HAPONSKI;1;Innsbruck 1976;1957
bashir-abdi;Bashir ABDI;2;Rio 2016;1989
aziz-acharki;Aziz ACHARKI;1;Sydney 2000;1972
otto-fahr;Otto FAHR;1;Stockholm 1912;1892
josiane-patricia-soloniaina;Josiane Patricia SOLONIAINA;1;London 2012;1978
lisbet-jakobsen;Lisbet JAKOBSEN;1;Rio 2016;1987
mark-greenwald;Mark GREENWALD;2;Calgary 1988;1968
evgeni-yotov-yordanov;Evgeni Yotov YORDANOV;1;Tokyo 1964;1940
igor-erokhin;Igor EROKHIN;2;Beijing 2008;1985
vaino-viljam-skarp;Väinö Viljam SKARP;1;London 1948;1908
peter-bakonyi;Peter BAKONYI;3;Tokyo 1964;1938
linet-chepkwemoi-masai;Linet Chepkwemoi MASAI;1;Beijing 2008;1989
sabine-jahn;Sabine JAHN;1;Montreal 1976;1953
inga-afonina;Inga AFONINA;1;Barcelona 1992;1969
patricia-tipper;Patricia TIPPER;1;Grenoble 1968;1946
philippe-grivel;Philippe GRIVEL;1;Seoul 1988;1964
mohamed-rais;Mohamed RAIS;1;Montreal 1976;1952
edward-william-bury;Edward William BURY;1;London 1908;1884
darko-damjanovski;Darko DAMJANOVSKI;3;Turin 2006;1981
stefanos-tsitsipas;Stefanos Tsitsipas;1;Tokyo 2020;1998
henri-richards;Henri RICHARDS;1;Antwerp 1920;
viktor-jansson;Viktor JANSSON;1;Helsinki 1952;1919
jake-heyward;Jake HEYWARD;1;Tokyo 2020;1999
jose-r-gonzalez-cabrera;Jose R. GONZALEZ CABRERA;1;Tokyo 1964;1917
giulia-lorenzoni;Giulia LORENZONI;3;Mexico City 1968;1940
ashraf-mohamed;Ashraf MOHAMED;1;Los Angeles 1984;1962
mac-bohonnon;Mac BOHONNON;2;Sochi 2014;1995
pippa-savage;Pippa SAVAGE;1;Beijing 2008;1981
simone-sabouret;Simone SABOURET;2;Antwerp 1920;1892
ueli-bodenmann;Ueli BODENMANN;3;Seoul 1988;1965
sanni-leinonen;Sanni LEINONEN;1;Vancouver 2010;1989
vasilisa-stepanova;Vasilisa STEPANOVA;1;Tokyo 2020;1993
maulen-mamyrov;Maulen MAMYROV;2;Atlanta 1996;1970
carl-joseph-iii-robie;Carl Joseph III ROBIE;2;Tokyo 1964;1945
ann-sophie-duyck;Ann-Sophie DUYCK;1;Rio 2016;1987
stephen-hodge;Stephen HODGE;1;Atlanta 1996;1961
frank-peter-brilando;Frank Peter BRILANDO;2;London 1948;1925
kyung-sook-kim;Kyung-Sook KIM;1;Seoul 1988;1967
daniela-cociu;Daniela COCIU;1;Tokyo 2020;2000
mary-grant-luding;Mary GRANT-LUDING;1;Munich 1972;1949
chrissy-redden;Chrissy REDDEN;1;Sydney 2000;1966
sisay-bezabeh;Sisay BEZABEH;2;Sydney 2000;1977
cedric-houssaye;Cedric HOUSSAYE;1;London 2012;1979
william-schober;William SCHOBER;1;Innsbruck 1976;1956
bettine-gartz;Bettine GARTZ;1;Moscow 1980;1958
patrik-de-laval;Patrik DE LAVAL;1;Stockholm 1912;1886
jesskiel-bickidick;Jesskiel BICKIDICK;1;Los Angeles 1984;1954
ernest-henry-yates;Ernest Henry YATES;1;Garmisch-Partenkirchen 1936;1915
michiel-schapers;Michiel SCHAPERS;1;Seoul 1988;1959
rob-crane;Rob CRANE;1;London 2012;1986
willy-venneman;Willy VENNEMAN;1;Rome 1960;1938
fibriani-ratna-marita;Fibriani Ratna MARITA;1;Beijing 2008;1994
arturs-gedvillo;Arturs GEDVILLO;1;Paris 1924;1904
erkki-kilpinen;Erkki KILPINEN;2;Sapporo 1972;1948
thabiso-ralekhetla;Thabiso RALEKHETLA;1;Atlanta 1996;1960
vasile-tiganas;Vasile TIGANAS;1;Moscow 1980;1951
ung-nam-an;Ung Nam AN;1;Montreal 1976;1948
jana-dukatova;Jana DUKATOVA;2;London 2012;1983
gordon-goplen;Gordon GOPLEN;1;Calgary 1988;1964
bozena-srncova;Bozena SRNCOVA;2;London 1948;1925
frederick-semple;Frederick SEMPLE;1;St. Louis 1904;1872
edvinas-ramanauskas;Edvinas RAMANAUSKAS;1;Rio 2016;1985
robinson-r-merchan-useche;Robinson R. MERCHAN USECHE;1;Barcelona 1992;1974
claudio-castilla-ruiz;Claudio CASTILLA RUIZ;2;Rio 2016;1983
ruth-abeles;Ruth ABELES;1;Rome 1960;1942
martin-haldbo-haldbo-hansen;Martin Haldbo HALDBO HANSEN;2;Barcelona 1992;1969
bahattin-topal;Bahattin TOPAL;2;Innsbruck 1964;1942
luigi-teilemb;Luigi TEILEMB;1;Rio 2016;1992
eva-tercelj;Eva TERCELJ;2;London 2012;1992
yan-qin-yang;Yan-Qin YANG;1;Los Angeles 1984;1966
tibor-holeczy;Tibor HOLECZY;1;Grenoble 1968;1943
eugeniusz-pedzisz;Eugeniusz PEDZISZ;4;Mexico City 1968;1946
olli-pousi;Olli POUSI;1;Moscow 1980;1959
roque-santos;Roque SANTOS;1;Barcelona 1992;1968
miroslav-klinger;Miroslav KLINGER;2;Antwerp 1920;1893
yahia-b-gregni;Yahia B. GREGNI;1;Barcelona 1992;1970
rowel-merto;Rowel MERTO;1;Seoul 1988;1961
ramon-cabrera;Ramon CABRERA;1;Munich 1972;1938
yuanmeng-chu;Yuanmeng CHU;1;Beijing 2022;1999
darryl-fitzgerald;Darryl FITZGERALD;1;London 2012;1990
maryna-prokof-yeva;Maryna PROKOF'YEVA;3;Sydney 2000;1982
wilfred-bungei;Wilfred BUNGEI;2;Athens 2004;1980
marie-christine-deurbroeck;Marie Christine DEURBROECK;1;Los Angeles 1984;1957
paolo-angioni;Paolo ANGIONI;2;Tokyo 1964;1938
jon-hermann-hegg;Jon-Hermann HEGG;1;Tokyo 2020;1999
tomasz-nowak;Tomasz NOWAK;1;Seoul 1988;1960
natalia-boyarskaya;Natalia BOYARSKAYA;1;Beijing 2008;1983
antonin-barton;Antonin BARTON;1;Lake Placid 1932;1908
michel-picard;Michel PICARD;1;Rome 1960;1934
ryuichi-kobayashi;Ryuichi KOBAYASHI;2;Turin 2006;1976
sylvia-barlag;Sylvia BARLAG;1;Moscow 1980;1954
xueqin-wang;Xueqin WANG;1;London 2012;1991
jing-jiang;Jing JIANG;1;Athens 2004;1985
marianna-longa;Marianna LONGA;2;Salt Lake City 2002;1979
marco-di-carli;Marco DI CARLI;2;Athens 2004;1985
piet-van-katwijk;Piet VAN KATWIJK;1;Munich 1972;1950
danek;Lukas DANEK;2;PyeongChang 2018;1997
heidi-becker-ramlow;Heidi BECKER-RAMLOW;2;Munich 1972;1954
ivar-sigmundsson;Ivar SIGMUNDSSON;1;Grenoble 1968;1942
jens-harskov-harskov;Jens Harskov HARSKOV;2;Barcelona 1992;1963
alex-shibutani;Alex SHIBUTANI;2;Sochi 2014;1991
paul-van-den-abeele;Paul VAN DEN ABEELE;1;Barcelona 1992;1965
david-chodounsky;David CHODOUNSKY;2;Sochi 2014;1984
laszlo-ludmann;Laszlo LUDMANN;1;Moscow 1980;1958
onbai-kin;Onbai KIN;1;Los Angeles 1932;1912
otto-torok;Otto TOROK;1;Tokyo 1964;1937
xiu-lan-wang;Xiu-Lan WANG;2;Albertville 1992;1971
janne-lundblad;Janne LUNDBLAD;2;Antwerp 1920;1877
barbara-jean-inkpen;Barbara Jean INKPEN;2;Mexico City 1968;1949
hilde-g-pedersen;Hilde G PEDERSEN;2;Salt Lake City 2002;1964
iakiv-khammo;Iakiv KHAMMO;2;Rio 2016;1994
george-bissland-moore;George Bissland MOORE;1;London 1948;1919
vadim-yaroshchuk;Vadim YAROSHCHUK;1;Seoul 1988;1966
georgi-chogovadze;Georgi CHOGOVADZE;2;Seoul 1988;1969
johan-lindqvist;Johan LINDQVIST;2;London 1908;1882
jacques-dalma-landry;Jacques-Dalma LANDRY;2;Barcelona 1992;1969
claudine-emonet;Claudine EMONET;1;Calgary 1988;1962
ron-shaver;Ron SHAVER;1;Innsbruck 1976;1951
ying-chen;Ying CHEN;1;Atlanta 1996;1971
peter-sagan;Peter SAGAN;3;London 2012;1990
johan-stoa;Johan STÖA;1;St. Moritz 1928;1900
paul-radmilovic;Paul RADMILOVIC;6;London 1908;1886
marcin-pochwala;Marcin POCHWALA;4;Athens 2004;1984
andrei-shakirov;Andrei SHAKIROV;1;Lake Placid 1980;1960
mekides-abebe;Mekides ABEBE;1;Tokyo 2020;2001
pekka-ahti-alanen;Pekka Ahti ALANEN;2;Tokyo 1964;1945
yasmin-hassan-farah;Yasmin HASSAN FARAH;1;London 2012;1993
josef-vogel;Josef VOGEL;1;Innsbruck 1976;1952
richard-webster-lawrence;Richard Webster LAWRENCE;1;Garmisch-Partenkirchen 1936;1906
marco-koch;Marco KOCH;3;London 2012;1990
maria-rentoumi;Maria RENTOUMI;1;Athens 2004;1981
josef-dusil;Josef DUSIL;1;Berlin 1936;1910
byong-gun-kim;Byong Gun KIM;1;Moscow 1980;1955
ethel-hudson;Ethel HUDSON;1;Atlanta 1996;1970
chierika-ukogu;Chierika UKOGU;1;Rio 2016;1992
margarida-carmo;Margarida CARMO;1;Los Angeles 1984;1969
zoltan-hradetzky-soos-ruszka;Zoltan HRADETZKY-SOOS-RUSZKA;2;Los Angeles 1932;1902
keisuke-sawaki;Keisuke SAWAKI;2;Mexico City 1968;1943
bradley-camp;Bradley CAMP;1;Seoul 1988;1964
orlando-baccino;Orlando BACCINO;4;Barcelona 1992;1970
thomas-lagler;Thomas LAGLER;1;Albertville 1992;1968
paula-dufter;Paula DUFTER;2;Grenoble 1968;1950
hengky-pie;Hengky PIE;1;Barcelona 1992;1966
elsa-einarsson;Elsa EINARSSON;1;Squaw Valley 1960;1941
luis-sanchez;Luis SANCHEZ;2;Squaw Valley 1960;1940
supra-singhal;Supra SINGHAL;1;Sydney 2000;1982
gunnar-skold;Gunnar SKÖLD;1;Paris 1924;1894
anass-ait-el-abdia;Anass AIT EL ABDIA;1;Rio 2016;1993
ioannis-leivaditis;Ioannis LEIVADITIS;1;Salt Lake City 2002;1974
martina-jaschke;Martina JÄSCHKE;1;Moscow 1980;1960
dionis-vodnev;Dionis VODNEV;1;Albertville 1992;1971
tamara-tikhonova;Tamara TIKHONOVA;1;Calgary 1988;1964
james-crapo-jr-cristy;James Crapo Jr. CRISTY;2;Los Angeles 1932;1913
moustafa-ali-abdelhalim;Moustafa Ali ABDELHALIM;1;Montreal 1976;1943
gwang-ho-kim;Gwang-Ho KIM;1;Albertville 1992;1973
axel-cruysberghs;Axel CRUYSBERGHS;1;Tokyo 2020;1994
erick-batte;Erick BATTE;1;Atlanta 1996;1974
robert-mieszala;Robert MIESZALA;1;Nagano 1998;1973
vinesh-phogat;Vinesh PHOGAT;2;Rio 2016;1994
jordi-torres;Jordi TORRES;1;Sarajevo 1984;1964
markus-rogan;Markus ROGAN;4;Sydney 2000;1982
philip-richard-erenberg;Philip Richard ERENBERG;1;Los Angeles 1932;1909
anton-marchl;Anton MARCHL;1;Barcelona 1992;1965
aleksandra-jadwiga-klejnowska-krzywanska;Aleksandra Jadwiga KLEJNOWSKA-KRZYWANSKA;4;Sydney 2000;1982
bormolini;Thomas BORMOLINI;1;Beijing 2022;1991
stefanija-statkuviene;Stefanija STATKUVIENE;1;Atlanta 1996;1962
karyn-faure;Karyn FAURE;1;Seoul 1988;1969
ingrid-salvenmoser;Ingrid SALVENMOSER;1;Nagano 1998;1967
celine-lebrun;Celine LEBRUN;2;Sydney 2000;1976
enkh-amar-kharkhuu;Enkh-Amar KHARKHUU;1;Rio 2016;1992
julie-augusta-helsing-jacobsen;Julie Augusta HELSING-JACOBSEN;1;Berlin 1936;1918
tajay-gayle;Tajay GAYLE;1;Tokyo 2020;1996
tami-lee-bruce;Tami Lee BRUCE;1;Seoul 1988;1967
roberta-brunet;Roberta BRUNET;4;Seoul 1988;1965
zulfiya-chinshanlo;Zulfiya CHINSHANLO;2;London 2012;1993
chantal-gibney;Chantal GIBNEY;1;Sydney 2000;1980
heiko-hasegawa;Heiko HASEGAWA;1;Innsbruck 1976;1955
annika-schleu;Annika SCHLEU;3;London 2012;1990
sungjae-im;Sungjae IM;1;Tokyo 2020;1998
andrew-place;Andrew PLACE;1;Albertville 1992;1970
timothy-lowndes;Timothy LOWNDES;2;Sydney 2000;1979
telma-santos;Telma SANTOS;2;London 2012;1983
etxezarreta;Adur ETXEZARRETA;1;Beijing 2022;1996
ho-sook-lee;Ho-Sook LEE;1;Atlanta 1996;1974
cyril-gaillard;Cyril GAILLARD;1;Sochi 2014;1986
donald-de-wayne-harper;Donald De Wayne HARPER;1;Melbourne 1956;1932
luke-muller;Luke MULLER;1;Tokyo 2020;1996
thandava-murthy-muthu;Thandava Murthy MUTHU;1;Sydney 2000;1975
henrik-robert;Henrik ROBERT;2;Paris 1924;1887
gerard-egelmeers;Gerard EGELMEERS;1;Sydney 2000;1969
stuart-blakely;Stuart BLAKELY;2;Innsbruck 1976;1956
louis-chaillot;Louis CHAILLOT;2;Los Angeles 1932;1914
vladimir-sukharev;Vladimir SUKHAREV;2;Helsinki 1952;1924
oscar-gregoire;Oscar GREGOIRE;3;Paris 1900;1877
stephen-angers;Stephen ANGERS;1;Seoul 1988;1965
scott-lago;Scott LAGO;1;Vancouver 2010;1987
lillian-copeland;Lillian COPELAND;2;Amsterdam 1928;1904
marilynn-minaker;Marilynn MINAKER;1;Mexico City 1968;1949
anastasiia-salos;Anastasiia SALOS;1;Tokyo 2020;2002
vladimir-goryaev;Vladimir GORYAEV;1;Rome 1960;1939
dumitru-schiopu;Dumitru SCHIOPU;1;Moscow 1980;1959
matti-patteri;Matti PATTERI;1;Mexico City 1968;1941
abdou-karim-seck;Abdou Karim SECK;1;Atlanta 1996;1966
robert-goix;Robert GOIX;1;Berlin 1936;1906
sinivie-boltic;Sinivie BOLTIC;1;London 2012;1982
william-besse;William BESSE;2;Albertville 1992;1968
reizo-koike;Reizo KOIKE;2;Los Angeles 1932;1915
jing-yuan-yao;Jing-Yuan YAO;1;Los Angeles 1984;1958
joao-gomes;Joao GOMES;1;Rio 2016;1986
mathew-helm;Mathew HELM;3;Sydney 2000;1980
aron-szilagyi;Aron SZILAGYI;4;Beijing 2008;1990
pawel-kurczewski;Pawel KURCZEWSKI;2;Munich 1972;1950
stig-lindberg-1;Stig LINDBERG;1;Mexico City 1968;1931
anna-krasteva;Anna KRASTEVA;1;Salt Lake City 2002;1977
constantin-iancu;Constantin IANCU;1;Lake Placid 1980;1948
jaroslav-sysel;Jaroslav SYSEL;1;Berlin 1936;1908
jong-suk-yun;Jong Suk YUN;1;Turin 2006;1986
joeri-van-dijk;Joeri VAN DIJK;1;Athens 2004;1983
charles-brown-1;Charles BROWN;1;St. Louis 1904;1867
donna-lee-mayhew;Donna Lee MAYHEW;2;Seoul 1988;1960
ma-kyin-lwan;Ma Kyin LWAN;1;Barcelona 1992;1966
maria-cwiertniewicz;Maria CWIERTNIEWICZ;1;Munich 1972;1952
antoine-wehrer;Antoine WEHRER;1;Stockholm 1912;1890
cornelia-sideri;Cornelia SIDERI;1;Tokyo 1964;1938
carolina-birkner;Carolina BIRKNER;1;Calgary 1988;1969
stephen-cummings;Stephen CUMMINGS;3;Athens 2004;1981
karl-kother;Karl KÖTHER;1;Amsterdam 1928;1905
patrick-cowdell;Patrick COWDELL;1;Montreal 1976;1953
halil-ibrahim-turan;Halil Ibrahim TURAN;1;Sydney 2000;1980
benjamin-pon;Benjamin PON;1;Munich 1972;1936
michal-rozmys;Michal ROZMYS;1;Tokyo 2020;1995
raphael-poiree;Raphael POIREE;3;Nagano 1998;1974
fumiyo-yamashita;Fumiyo YAMASHITA;2;Barcelona 1992;1967
mikko-nordqvist;Mikko NORDQVIST;1;Rome 1960;1917
azzedine-basbas;Azzedine BASBAS;3;Seoul 1988;1967
hersony-canelon;Hersony CANELON;2;London 2012;1988
rui-wang;Rui WANG;2;PyeongChang 2018;1991
denis-menchov;Denis MENCHOV;3;Athens 2004;1978
ludwig-m-heyden;Ludwig M. HEYDEN;1;Stockholm 1912;1893
kenichi-hayakawa;Kenichi HAYAKAWA;1;Rio 2016;1986
louise-mcpaul;Louise MCPAUL;3;Barcelona 1992;1969
yvette-thuis;Yvette THUIS;1;Seoul 1988;1971
evgeny-rylov;Evgeny RYLOV;2;Rio 2016;1996
neil-willey;Neil WILLEY;2;Atlanta 1996;1976
lucien-lafleur;Lucien LAFLEUR;1;Lake Placid 1932;
ajla-tomljanovic;Ajla TOMLJANOVIC;1;Tokyo 2020;1993
ian-barker;Ian BARKER;1;Sydney 2000;1966
matej-kazar;Matej KAZAR;3;Turin 2006;1983
anna-fernstaedt;Anna FERNSTAEDT;2;PyeongChang 2018;1996
fernando-gazapo-de-sarraga;Fernando GAZAPO DE SARRAGA;1;London 1948;1920
algo-karp;Algo KARP;3;Vancouver 2010;1985
yuriy-andronov;Yuriy ANDRONOV;1;Athens 2004;1971
howard-valentine;Howard VALENTINE;2;St. Louis 1904;1880
mario-zorzi;Mario ZORZI;2;Los Angeles 1932;1910
constance-lydia-willoughby;Constance Lydia WILLOUGHBY;1;Helsinki 1952;1930
ossian-jorgensen;Ossian JÖRGENSEN;1;London 1908;1874
mohammed-arjaoui;Mohammed ARJAOUI;3;Beijing 2008;1987
gregory-louganis;Gregory LOUGANIS;3;Montreal 1976;1960
lucyna-krawcewicz;Lucyna KRAWCEWICZ;1;Mexico City 1968;1938
anders-lundqvist;Anders LUNDQVIST;1;Sapporo 1972;1951
svetlana-boginskaya;Svetlana BOGINSKAYA;3;Seoul 1988;1973
song-yang;Song YANG;1;Atlanta 1996;1965
muideen-ganiyu;Muideen GANIYU;1;Athens 2004;1979
keisuke-otoguro;Keisuke OTOGURO;1;Tokyo 2020;
brian-strange;Brian STRANGE;1;Montreal 1976;1954
olivier-jaquet;Olivier JAQUET;2;Barcelona 1992;1969
jenni-honkanen;Jenni HONKANEN;3;Athens 2004;1980
cornelia-hanisch;Cornelia HANISCH;2;Montreal 1976;1952
lawrence-cherono;Lawrence CHERONO;1;Tokyo 2020;1988
jan-zelezny;Jan ŽELEZNÝ;5;Seoul 1988;1966
madjid-aflakikhamseh;Madjid AFLAKIKHAMSEH;1;Sydney 2000;1973
xianming-cao;Xianming CAO;1;Salt Lake City 2002;1976
alexander-belov;Alexander BELOV;1;Salt Lake City 2002;1981
yasuko-tajima;Yasuko TAJIMA;1;Sydney 2000;1981
inmaculada-vicent-garcia;Inmaculada VICENT GARCIA;1;Barcelona 1992;1967
arrigo-carnoli;Arrigo CARNOLI;1;Helsinki 1952;1932
paul-karl-rudolf-gnaier;Paul Karl Rudolf GNAIER;3;Rome 1960;1926
tadej-valjavec;Tadej VALJAVEC;3;Sydney 2000;1977
hans-jurgen-baumler;Hans-Jürgen BÄUMLER;2;Squaw Valley 1960;1942
naide-gomes;Naide GOMES;3;Sydney 2000;1979
nova-widianto;Nova WIDIANTO;2;Athens 2004;1977
rafkat-ruziyev;Rafkat RUZIYEV;1;Atlanta 1996;1970
anatoli-onishchuk;Anatoli ONISHCHUK;1;Mexico City 1968;1946
gianluigi-saccaro;Gianluigi SACCARO;4;Rome 1960;1938
william-marshall-cazalet;William Marshall CAZALET;1;London 1908;1865
hans-wallen;Hans WALLEN;3;Barcelona 1992;1961
vanessa-fernandes;Vanessa FERNANDES;2;Athens 2004;1985
keydomar-giovanni-vallenilla-sanchez;Keydomar Giovanni VALLENILLA SANCHEZ;1;Tokyo 2020;1999
jan-eric-johnson;Jan Eric JOHNSON;1;Munich 1972;1950
marcel-perrot;Marcel PERROT;1;Antwerp 1920;
jared-tallent;Jared TALLENT;3;Beijing 2008;1984
neil-cochran;Neil COCHRAN;2;Los Angeles 1984;1965
ralph-anthony-hill;Ralph Anthony HILL;1;Los Angeles 1932;1908
kristof-rasovszky;Kristof RASOVSZKY;2;Rio 2016;1997
gary-james-knoke;Gary James KNOKE;3;Tokyo 1964;1942
anneliese-seonbuchner;Anneliese SEONBUCHNER;1;Helsinki 1952;1929
ezedin-tlish;Ezedin TLISH;2;Athens 2004;1982
nataliia-kalnysh;Nataliia KALNYSH;4;Sydney 2000;1974
melita-ruhn;Melita RÜHN;1;Moscow 1980;1965
galina-stepanskaya;Galina STEPANSKAYA;1;Innsbruck 1976;1949
sigrid-teresa-corneo;Sigrid Teresa CORNEO;1;Beijing 2008;1971
hale-baugh;Hale BAUGH;1;London 1948;1924
jong-nam-li;Jong Nam LI;1;Montreal 1976;1956
anthony-michael-garcy;Anthony Michael GARCY;1;Tokyo 1964;1939
dan-loven;Dan LOVEN;1;Los Angeles 1984;1961
arnulf-sunde;Arnulf SUNDE;1;Innsbruck 1976;1951
tamara-vega;Tamara VEGA;2;London 2012;1993
beth-paxson;Beth PAXSON;1;Lake Placid 1980;1960
yi-ning-chang-1;Yi-Ning CHANG;1;Athens 2004;1957
michael-anti;Michael ANTI;4;Barcelona 1992;1964
sergey-ashihmin;Sergey ASHIHMIN;2;Atlanta 1996;1977
hyun-kon-park;Hyun-Kon PARK;1;Seoul 1988;1968
willy-klein;Willy KLEIN;1;Berlin 1936;1912
susen-tiedtke;Susen TIEDTKE;2;Barcelona 1992;1969
nina-rillstone;Nina RILLSTONE;1;Beijing 2008;1975
gerhard-dommrich;Gerhard DOMMRICH;1;Mexico City 1968;1932
arne-carlsson-1;Arne CARLSSON;1;Helsinki 1952;1924
martin-elmiger;Martin ELMIGER;2;Athens 2004;1978
tamara-zamotaylova-lyukhina;Tamara ZAMOTAYLOVA-LYUKHINA;2;Rome 1960;1939
natalya-safronova;Natalya SAFRONOVA;2;Sydney 2000;1974
simion-cutov;Simion CUTOV;2;Montreal 1976;1952
jaroslav-stastny;Jaroslav STASTNY;1;Rome 1960;1936
van-hung-nguyen;Van Hung NGUYEN;2;Athens 2004;1980
nikolaj-sorensen;Nikolaj SØRENSEN;1;Beijing 2022;1989
janice-lawler;Janice LAWLER;1;Innsbruck 1964;1944
jun-heo;Jun HEO;1;Rio 2016;1988
leopoldo-jose-andara-gonzalez;Leopoldo Jose ANDARA GONZALEZ;1;Beijing 2008;1986
essambo-ewane;Essambo EWANE;2;Moscow 1980;1952
vladimir-selkov;Vladimir SELKOV;2;Barcelona 1992;1971
sibel-ozkan-konak;Sibel OZKAN KONAK;1;Beijing 2008;1988
kaitlyn-weaver;Kaitlyn WEAVER;2;Sochi 2014;1989
walter-newell-colbath;Walter Newell COLBATH;1;Amsterdam 1928;1907
trude-beiser-jochum;Trude BEISER-JOCHUM;2;St. Moritz 1948;1927
andrei-bakhvalov;Andrei BAKHVALOV;3;Calgary 1988;1963
