discipline_title;slug_game;event_title;event_gender;medal_type;participant_type;participant_title;athlete_id;country_name;country_3_letter_code
Boxing;atlanta-1996;48kg lightflyweight men;Men;GOLD;Athlete;;daniel-petrov-bojinov;Bulgaria;BUL
Boxing;antwerp-1920;7938kg heavyweight men;Men;SILVER;Athlete;;soren-petersen;Denmark;DEN
Canoe Sprint;london-2012;K-1 200m (kayak single) men;Men;SILVER;Athlete;;saul-craviotto;Spain;ESP
Short Track Speed Skating;sochi-2014;1500m men;Men;BRONZE;Athlete;;victor-an;Russian Federation;RUS
Fencing;seoul-1988;foil team women;Women;SILVER;GameTeam;Italy team;;Italy;ITA
Sailing;athens-2004;singlehanded dinghy Europe women;Women;SILVER;Athlete;;lenka-smidova;Czech Republic;CZE
Boxing;rio-2016;51 kg fly women;Women;GOLD;Athlete;;nicola-adams;Great Britain;GBR
Fencing;st-louis-1904;sabre individual men;Men;GOLD;Athlete;;manuel-diaz;Cuba;CUB
Rowing;montreal-1976;quadruple sculls without coxsw men;Men;SILVER;GameTeam;Soviet Union team;;Soviet Union;URS
Hockey;montreal-1976;hockey men;Men;BRONZE;GameTeam;Pakistan team;;Pakistan;PAK
Boxing;atlanta-1996;75-81kg lightheavyweight men;Men;GOLD;Athlete;;;Kazakhstan;KAZ
Modern Pentathlon;montreal-1976;Individual competition men;Men;BRONZE;Athlete;;jan-bartu;Czechoslovakia;TCH
Equestrian Eventing;beijing-2008;team mixed;Open;GOLD;GameTeam;Germany team;;Germany;GER
Diving;beijing-2008;synchronized diving 10m platform women;Women;SILVER;GameTeam;Australia team;melissa-wu;Australia;AUS
Athletics;beijing-2008;3000m steeplechase men;Men;GOLD;Athlete;;brimin-kiprop-kipruto;Kenya;KEN
Cross Country Skiing;sochi-2014;Sprint 15km men;Men;GOLD;Athlete;;ola-vigen-hattestad;Norway;NOR
Speed skating;beijing-2022;Men's Mass Start;Men;SILVER;Athlete;;jaewon-chung;Republic of Korea;KOR
Archery;st-louis-1904;Team Round Men;Men;BRONZE;GameTeam;Boston Archers;;United States of America;USA
Handball;berlin-1936;handball men;Men;BRONZE;GameTeam;Switzerland team;;Switzerland;SUI
Cycling Track;moscow-1980;Sprint individual men;Men;GOLD;Athlete;;lutz-hesslich;German Democratic Republic (Germany);GDR
Swimming;tokyo-1964;400m individual medley women;Women;BRONZE;Athlete;;martha-irene-randall;United States of America;USA
Shooting;mexico-city-1968;300m free rifle 3 positions 3 men;Open;SILVER;Athlete;;valentin-kornev;Soviet Union;URS
Judo;rio-2016;81  90kg middleweight men;Men;BRONZE;Athlete;;xunzhao-cheng;People's Republic of China;CHN
Cycling Track;atlanta-1996;Sprint individual men;Men;SILVER;Athlete;;martin-nothstein;United States of America;USA
Judo;beijing-2008;57 - 63kg (half-middleweight) women;Women;SILVER;Athlete;;lucie-decosse;France;FRA
Wrestling;helsinki-1952;Heavyweight, Greco-Roman (>87 kilograms) Men;Men;SILVER;Athlete;;josef-ruzicka;Czechoslovakia;TCH
Ski Jumping;lillehammer-1994;Teams men;Men;SILVER;GameTeam;Japan team;;Japan;JPN
Cross Country Skiing;salt-lake-city-2002;30km mass start men;Men;SILVER;Athlete;;mikhail-botvinov;Austria;AUT
Gymnastics Artistic;athens-2004;pommel horse men;Men;BRONZE;Athlete;;takehiro-kashima;Japan;JPN
Sailing;rome-1960;5.5m mixed;Open;SILVER;GameTeam;Web II;;Denmark;DEN
Tennis;london-2012;Singles men;Men;SILVER;Athlete;;roger-federer;Switzerland;SUI
Athletics;paris-1924;high jump men;Men;BRONZE;Athlete;;pierre-lewden;France;FRA
Nordic Combined;pyeongchang-2018;Individual Gundersen Large Hill/10km;Men;GOLD;Athlete;;johannes-rydzek;Germany;GER
Rowing;moscow-1980;double sculls 2x men;Men;BRONZE;GameTeam;Czechoslovakia team;zdenek-pecka;Czechoslovakia;TCH
Rowing;rome-1960;four-oared shell with coxswain men;Men;SILVER;GameTeam;France team;;France;FRA
Athletics;melbourne-1956;4x400m relay men;Men;SILVER;GameTeam;Australia team;;Australia;AUS
Swimming;london-2012;100m butterfly men;Men;SILVER;Athlete;;evgeny-korotyshkin;Russian Federation;RUS
Fencing;london-1908;sabre team men;Men;GOLD;GameTeam;Hungary team;;Hungary;HUN
Swimming;rio-2016;100m freestyle women;Women;GOLD;Athlete;;penny-oleksiak;Canada;CAN
Athletics;tokyo-1964;50km walk men;Men;BRONZE;Athlete;;ingvar-pettersson;Sweden;SWE
Figure skating;innsbruck-1964;Individual men;Men;SILVER;Athlete;;alain-calmat;France;FRA
Athletics;berlin-1936;110m hurdles men;Men;BRONZE;Athlete;;frederick-douglas-jr-pollard;United States of America;USA
Boxing;athens-2004;54-57kg featherweight men;Men;SILVER;Athlete;;song-guk-kim-1;Democratic People's Republic of Korea;PRK
